id,name,match_api_id,home_team,away_team_api_id,home_team_goal,away_team_goal,season,name:1,BWH,BWH:1,LBH,PSH,WHH,VCH,BWD,IWD,LBD,PSD,WHD,VCD,BWA,IWA,LBA,LBA:1,PSA,WHA,VCA,B365A,B365D,B365H,vyhodny_kurs,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
3,Belgium Jupiler League,492475,KSV Cercle Brugge,8635,0,3,2008/2009,Belgium,2.4,2.4,2.5,,2.5,2.35,3.3,3.1,3.2,,3.25,3.25,2.55,2.3,2.5,2.5,,2.4,2.65,2.75,3.3,2.38,ANO,6,8635,229,RSC Anderlecht,AND
7,Belgium Jupiler League,492479,KSV Roeselare,8571,2,2,2008/2009,Belgium,2.05,2.05,1.83,,1.83,2.1,3.25,3.2,3.3,,3.3,3.25,3.15,3.5,3.6,3.6,,3.6,3,3.3,3.2,2.1,NE,14,8571,100081,KV Kortrijk,KOR
8,Belgium Jupiler League,492480,Tubize,9996,1,2,2008/2009,Belgium,2.55,2.55,2.5,,2.7,2.8,3.3,3.2,3.2,,3.25,3.25,2.4,2.4,2.5,2.5,,2.25,2.25,2.2,3.4,3.2,ANO,16,9996,111560,Royal Excel Mouscron,MOU
9,Belgium Jupiler League,492481,KVC Westerlo,9986,1,0,2008/2009,Belgium,2.3,2.3,2.25,,2.2,2.25,3.25,3.1,3.2,,3.25,3.25,2.7,3,2.75,2.75,,2.75,2.8,2.88,3.25,2.25,ANO,18,9986,670,Sporting Charleroi,CHA
12,Belgium Jupiler League,492566,SV Zulte-Waregem,9991,0,2,2008/2009,Belgium,2.6,2.6,2.5,,2.6,2.65,3.2,3.2,3.2,,3.1,3.3,2.4,2.4,2.5,2.5,,2.4,2.3,2.5,3.2,2.6,ANO,7,9991,674,KAA Gent,GEN
14,Belgium Jupiler League,492568,FCV Dender EH,10001,2,2,2008/2009,Belgium,2.75,2.75,2.6,,2.75,2.75,3.3,3.2,3.2,,3.2,3.2,2.25,2.3,2.38,2.38,,2.25,2.3,2.38,3.3,2.9,NE,17,10001,681,KVC Westerlo,WES
16,Belgium Jupiler League,492570,Royal Excel Mouscron,9984,0,1,2008/2009,Belgium,2.35,2.35,2.2,,2.2,2.2,3.25,3.1,3.2,,3.2,3.25,2.7,2.8,2.8,2.8,,2.8,2.9,3,3.3,2.35,ANO,5,9984,1750,KSV Cercle Brugge,CEB
20,Belgium Jupiler League,492574,RAEC Mons,9996,0,0,2008/2009,Belgium,2.25,2.25,2.5,,2.3,2.35,3.2,3.1,3.2,,3.25,3.25,2.8,2.8,2.5,2.5,,2.6,2.65,2.9,3.3,2.4,NE,16,9996,111560,Royal Excel Mouscron,MOU
21,Belgium Jupiler League,492575,Sporting Charleroi,8342,2,2,2008/2009,Belgium,3.25,3.25,2.75,,3,3.25,3.2,3,3.25,,3.2,3.25,2.1,2.1,2.2,2.2,,2.1,2,2.25,3.3,3.2,NE,12,8342,231,Club Brugge KV,CLB
26,Belgium Jupiler League,492580,KVC Westerlo,9987,1,0,2008/2009,Belgium,2.5,2.5,2.5,,2.5,2.4,3.3,3.1,3.2,,3.25,3.25,2.45,2.45,2.5,2.5,,2.4,2.6,2.6,3.25,2.7,ANO,1,9987,673,KRC Genk,GEN
27,Belgium Jupiler League,492581,Beerschot AC,9985,1,3,2008/2009,Belgium,3.4,3.4,3.75,,3.25,3.75,3.25,3.3,3.3,,3.25,3.25,1.95,1.75,1.8,1.8,,1.95,1.85,2.05,3.3,3.6,ANO,10,9985,232,Standard de Liège,STL
28,Belgium Jupiler League,492582,Club Brugge KV,8635,1,1,2008/2009,Belgium,2.2,2.2,2.2,,2.15,2.25,3.15,3.1,3.25,,3.1,3.1,3,3.2,2.75,2.75,,3,2.8,2.9,3.25,2.3,NE,6,8635,229,RSC Anderlecht,AND
31,Belgium Jupiler League,492585,Sporting Lokeren,9985,1,1,2008/2009,Belgium,3.4,3.4,3,,3.2,3.2,3.2,3.1,3.2,,3.2,3.2,2,2.2,2.1,2.1,,2,2.1,2.1,3.25,3.25,NE,10,9985,232,Standard de Liège,STL
32,Belgium Jupiler League,492586,FCV Dender EH,8571,1,0,2008/2009,Belgium,2.25,2.25,2.2,,2.1,2.25,3.1,3.1,3.25,,3.2,3.3,2.95,3,2.75,2.75,,3,2.8,2.8,3.25,2.3,ANO,14,8571,100081,KV Kortrijk,KOR
33,Belgium Jupiler League,492587,KV Mechelen,9998,0,0,2008/2009,Belgium,1.95,1.95,2.1,,2.1,2.1,3.2,3.1,3.2,,3.2,3.3,3.6,3.2,3,3,,3,3.1,3.4,3.25,2.05,NE,8,9998,1747,RAEC Mons,MON
34,Belgium Jupiler League,492588,Royal Excel Mouscron,9986,2,1,2008/2009,Belgium,2.1,2.1,2.2,,2.25,2.2,3.25,3.1,3.2,,3.2,3.3,3.1,3,2.8,2.8,,2.75,2.8,3,3.25,2.2,ANO,18,9986,670,Sporting Charleroi,CHA
36,Belgium Jupiler League,492590,KVC Westerlo,9991,3,2,2008/2009,Belgium,2.3,2.3,2.4,,2.3,2.5,3.2,3.1,3.1,,3.1,3.2,2.75,2.6,2.6,2.6,,2.7,2.6,2.75,3.3,2.5,ANO,7,9991,674,KAA Gent,GEN
42,Belgium Jupiler League,492628,KAA Gent,9987,2,3,2008/2009,Belgium,2.05,2.05,2.2,,2.1,2.2,3.3,3.1,3.25,,3.2,3.25,3.2,2.8,2.75,2.75,,3.2,2.8,3.2,3.3,2.1,ANO,1,9987,673,KRC Genk,GEN
43,Belgium Jupiler League,492631,KSV Roeselare,7947,2,2,2008/2009,Belgium,2.3,2.3,2.2,,2.5,2.25,3.2,3.1,3.25,,3.15,3.25,2.8,2.8,2.75,2.75,,2.6,2.75,2.88,3.3,2.4,NE,9,7947,,FCV Dender EH,DEN
44,Belgium Jupiler League,492636,KV Kortrijk,10000,1,0,2008/2009,Belgium,2.25,2.25,2.2,,2.3,2.25,3.1,3,3.25,,3.2,3.25,2.9,2.7,2.75,2.75,,2.62,2.8,2.88,3.4,2.38,ANO,3,10000,15005,SV Zulte-Waregem,ZUL
45,Belgium Jupiler League,492638,Beerschot AC,9994,0,2,2008/2009,Belgium,2.25,2.25,2.2,,2.25,2.25,3,3.1,3,,3.2,3.25,3,2.6,3,3,,2.9,2.8,3.3,3.3,2.2,ANO,4,9994,2007,Sporting Lokeren,LOK
48,Belgium Jupiler League,492658,SV Zulte-Waregem,9986,4,2,2008/2009,Belgium,2.2,2.2,2.25,,2.3,2.25,3.2,3,3.25,,3.25,3.25,3,2.9,2.7,2.7,,2.6,2.75,3,3.25,2.2,ANO,18,9986,670,Sporting Charleroi,CHA
52,Belgium Jupiler League,492670,Royal Excel Mouscron,9994,2,0,2008/2009,Belgium,2.1,2.1,2.2,,2.2,2.2,3.1,3.1,3.2,,3.2,3.25,3.3,2.8,2.8,2.8,,2.8,2.9,3,3.25,2.2,ANO,4,9994,2007,Sporting Lokeren,LOK
53,Belgium Jupiler League,492674,Tubize,8571,3,3,2008/2009,Belgium,2.15,2.15,2.3,,2.2,2.4,3.25,3.1,3.2,,3.2,3.25,3.05,2.8,2.62,2.62,,2.8,2.65,2.88,3.2,2.3,NE,14,8571,100081,KV Kortrijk,KOR
57,Belgium Jupiler League,492689,RAEC Mons,7947,5,2,2008/2009,Belgium,2.15,2.15,2,,2.1,2.1,3.1,3.1,3.2,,3.2,3.25,3.1,3,3.2,3.2,,3,3,3.25,3.25,2.1,ANO,9,7947,,FCV Dender EH,DEN
59,Belgium Jupiler League,492693,KSV Cercle Brugge,9991,3,1,2008/2009,Belgium,2.25,2.25,2.38,,2.25,2.3,3,3.1,3.2,,3.2,3.3,3,2.8,2.6,2.6,,2.75,2.65,2.88,3.3,2.4,ANO,7,9991,674,KAA Gent,GEN
60,Belgium Jupiler League,492696,Sporting Lokeren,8342,2,0,2008/2009,Belgium,3,3,2.75,,2.75,2.6,3,3.1,3.2,,3.2,3.3,2.25,2.3,2.25,2.25,,2.25,2.35,2.3,3.2,2.88,ANO,12,8342,231,Club Brugge KV,CLB
61,Belgium Jupiler League,492699,KSV Roeselare,10001,1,0,2008/2009,Belgium,2.95,2.95,2.88,,3.2,3,3.25,3.1,3.3,,3.2,3.25,2.15,2.2,2.1,2.1,,2,2.1,2.1,3.3,3.25,ANO,17,10001,681,KVC Westerlo,WES
62,Belgium Jupiler League,492702,KV Kortrijk,9987,3,1,2008/2009,Belgium,3.35,3.35,3,,3,3,3.2,3.1,3.2,,3.2,3.25,2,2,2.1,2.1,,2.1,2.1,2.1,3.25,3.25,ANO,1,9987,673,KRC Genk,GEN
63,Belgium Jupiler League,492706,Beerschot AC,9996,3,0,2008/2009,Belgium,2.15,2.15,2.2,,2.2,2.25,3.15,3.1,3.25,,3.25,3.3,3.05,2.5,2.75,2.75,,2.75,2.75,3,3.25,2.2,ANO,16,9996,111560,Royal Excel Mouscron,MOU
64,Belgium Jupiler League,492709,Club Brugge KV,9985,1,4,2008/2009,Belgium,2.25,2.25,2.25,,2.3,2.3,3.2,3.1,3.25,,3.1,3.2,2.9,3,2.7,2.7,,2.7,2.7,2.62,3.2,2.62,ANO,10,9985,232,Standard de Liège,STL
66,Belgium Jupiler League,492717,SV Zulte-Waregem,9996,2,1,2008/2009,Belgium,2.1,2.1,2,,2.1,1.95,3.2,3.1,3.2,,3.25,3.25,3.2,3,3.2,3.2,,2.9,3.4,3.6,3.3,2.05,ANO,16,9996,111560,Royal Excel Mouscron,MOU
68,Belgium Jupiler League,492722,FCV Dender EH,9994,1,1,2008/2009,Belgium,2.75,2.75,2.75,,2.75,2.75,3.15,3.1,3.2,,3.2,3.25,2.35,2.3,2.25,2.25,,2.25,2.25,2.2,3.25,3.25,NE,4,9994,2007,Sporting Lokeren,LOK
69,Belgium Jupiler League,492724,KV Mechelen,9993,2,1,2008/2009,Belgium,2.2,2.2,2.37,,2.25,2.25,3.25,3.1,3.2,,3.2,3.2,2.95,2.6,2.6,2.6,,2.75,2.8,2.75,3.3,2.5,ANO,2,9993,675,Beerschot AC,BAC
